Chef Ejecutivo,'Supervisa la preparación de los alimentos, diseña el menú y coordina al personal de cocina para garantizar la calidad en los platillos.'
Sous Chef,'Asiste al chef ejecutivo en la preparación y supervisión de platillos, reemplazándolo en su ausencia.'
Chef de Partie,'Responsable de una estación específica en la cocina, como postres, carnes o guarniciones, asegurando consistencia y calidad.'
Cocinero,'Prepara los alimentos según el menú, siguiendo las recetas y estándares del restaurante.'
Ayudante de Cocina,'Asiste en la preparación de ingredientes y en la limpieza de la cocina, apoyando a los cocineros en tareas básicas.'
Lavaplatos,'Encargado de lavar y organizar los utensilios de cocina, platos y equipos necesarios para la operación diaria.'
Mesero,'Atiende a los clientes, asigna mesas, toma pedidos y asegura que los comensales tengan una experiencia agradable.'
Hostess,'Recibe a los clientes, los asigna a sus mesas y organiza las reservas para optimizar el flujo del restaurante.'
Bartender,'Prepara bebidas y cócteles, mantiene el inventario de licores y garantiza un servicio rápido y amigable en la barra.'
Barback,'Apoya al bartender, reponiendo insumos, lavando cristalería y organizando la barra para mantener el ritmo del servicio.'
Sommelier,'Recomienda vinos a los clientes y gestiona la carta de vinos, asegurándose de que las selecciones se complementen con el menú.'
Gerente de Restaurante,'Supervisa las operaciones diarias, gestiona el personal, controla el inventario y asegura un excelente servicio al cliente.'
Supervisor de Turno,'Coordina al personal durante el turno, asegurando que todos cumplan con sus funciones para una operación fluida.'
Cajero,'Procesa los pagos de los clientes, maneja la caja registradora y proporciona recibos mientras mantiene un servicio eficiente.'
Encargado de Compras,'Gestiona el abastecimiento de ingredientes y suministros, manteniendo una buena relación con proveedores para asegurar calidad y precios competitivos.'
Repostero,'Prepara postres, panes y otros productos de pastelería, asegurando que cumplan con los estándares de sabor y presentación.'
Delivery,'Realiza la entrega de pedidos a domicilio, asegurándose de que lleguen a tiempo y en óptimas condiciones.'
Asistente de Limpieza,'Limpia y organiza las áreas del restaurante, incluyendo baños y áreas comunes, para mantener un ambiente higiénico.'
Encargado de Reservaciones,'Maneja las reservas telefónicas y en línea, optimizando el uso de mesas y asistiendo al equipo de recepción.'
Encargado de Eventos,'Coordina la organización de eventos en el restaurante, desde el menú hasta la logística, para garantizar la satisfacción de los clientes.'
